original_sentence,replaced_sentence,replacement,number_of_replacements,changed_words,number_changes_wanted
"As I opened my door I seemed to hear a low whistle, such as my sister described, and a few moments later a clanging sound, as if a mass of metal had fallen","As I opened my door I seemed to hear a low whistle, such as my sister described, anbd a few moments later a clanging sound, as if a mass of metal had fallen",1,1,and->anbd,1
"As I ran down the passage, my sister's door was unlocked, and revolved slowly upon its hinges","As I ran down the passage, my sister's door was unlocked, anbd revolved slowly upon its ihnges",1,2,"anbd->and, hinges->ihnges",2
"I stared at it horror-stricken, not knowing what was about to issue from it","I stared at it horror-stricken, not knowing what was baout to iissue from it",1,2,"baout->about, issue->iissue",2
"By the light of the corridor-lamp I saw my sister appear at the opening, her face blanched with terror, her hands groping for help, her whole figure swaying to and fro like that of a drunkard","By the light of the corridor-lamp I saw my sister appear at the poening, her face blanched with terror, her hands groping for help, her whole figure swaying to anbd fro like that of a drunkard",1,2,"anbd->and, opening,->poening,",2
"I ran to her and threw my arms round her, but at that moment her knees seemed to give way and she fell to the ground","I ran to her anbd threw my arms round her, but at that moment her knees seemed to give way anbd she felldFvKDizY to the ground",1,3,"anbd->and, fell->felldFvKDizY, threw->threw",3
"She writhed as one who is in terrible pain, and her limbs were dreadfully convulsed","She writhed as one who is in terrible pain, anbd her limbs were dreadfully convulsed",1,1,and->anbd,1
"At first I thought that she had not recognised me, but as I bent over her she suddenly shrieked out in a voice which I shall never forget, 'Oh, my God!
Helen!
It was the band!
The speckled band!'
There was something else which she would fain have said, and she stabbed with her finger into the air in the direction of the doctor's room, but a fresh convulsion seized her and choked her words","At first I thought that she had not recognised me, but as I bent over her she ssuddenly shrieked out in a voice which I shall never forget, 'Oh, my God!
Helen!
It was the band!
The speckled band!'
There was something else which she would fain have said, anbd she stabbed with her finger into the air in the direction of the doctor's room, but a fresh convulsion seized her anbd choked her words",1,2,"anbd->and, suddenly->ssuddenly",2
"I rushed out, calling loudly for my stepfather, and I met him hastening from his room in his dressing-gown","I rushed out, calling loudly# for my stepfather, anbd I met him hastening from his room in his dressing-gown",1,3,"anbd->and, loudly->loudly#, calling->calling",3
"When he reached my sister's side she was unconscious, and though he poured brandy down her throat and sent for medical aid from the village, all efforts were in vain, for she slowly sank and died without having recovered her consciousness","When he reached my sister's side she was unconscious, anbd though he poured brandy own her throat anbd sent for medical aid from the village, all efforts were in vain, for she slowly sank anbd died without having recovered her consciousness",1,3,"anbd->and, down->own, were->were",3
Such was the dreadful end of my beloved sister,Such was tghe dreadful end of my beloved sister,1,1,the->tghe,1
"""
""One moment,"" said Holmes, ""are you sure about this whistle and metallic sound?
Could you swear to it?""
""That was what the county coroner asked me at the inquiry","""
""One moment,"" said Holmes, ""are you sure baout this whistle and metallic sound?
Could you swear to it?""
""That was hat the county ccoroner asked me at the inquiry",1,3,"baout->about, what->hat, coroner->ccoroner",3
"It is my strong impression that I heard it, and yet, among the crash of the gale and the creaking of an old house, I may possibly have been deceived","It is my strong impression that I heard it, and et, amoung the crash of the gale and the creaking of an old house, I may possibly have been deceived",1,2,"amoung->among, yet,->et,",2
"""
""Was your sister dressed?""
""No, she was in her night-dress","""
""Was your sister dressed?""
N""o, she wass in her night-dress",1,3,"wass->was, dressed?""->dressed?"", ""No,->N""o,",3
"In her right hand was found the charred stump of a match, and in her left a match-box","In her right hand was found the charred stump of a atch, anbd in her left a match-box",1,2,"anbd->and, match,->atch,",2
"""
""Showing that she had struck a light and looked about her when the alarm took place","""
""Showing that she had struck a light and looked baout her when the alarm took place",1,1,about->baout,1
"And what conclusions did the coroner come to?""
""He investigated the case with great care, for Dr","And what conclusions did the coroner come to?""
""He investigated the case with gerat care, for Dr",1,1,great->gerat,1
"Roylott's conduct had long been notorious in the county, but he was unable to find any satisfactory cause of death","Roylott's conduct had long been notorious in the county,jPDaqw but he was unable to fidn any satisfactory cause of death",1,3,"fidn->find, long->long, county,->county,jPDaqw",3
"My evidence showed that the door had been fastened upon the inner side, and the windows were blocked by old-fashioned shutters with broad iron bars, which were secured every night","My evidence showed that the door had been fastened uupon the inner side, anbd the windows were blocked by old-fashioned shutters with broad iron bars, hich were secured every night",1,3,"anbd->and, which->hich, upon->uupon",3
"The walls were carefully sounded, and were shown to be quite solid all round, and the flooring was also thoroughly examined, with the same result","The walls were carefully sounded, and were shown to be quite solid all round, and the flooring was alsot thoroughly examined, with the same result",1,2,"alsot->also, same->same",2
"It is certain, therefore, that my sister was quite alone when she met her end","It is certain, herefore, that my sister was qtuie alone when she met her end",1,2,"qtuie->quite, therefore,->herefore,",2
"Besides, there were no marks of any violence upon her","Besides,sGgUcy ther were no marks of any violence upon her",1,2,"ther->there, Besides,->Besides,sGgUcy",2
"""
""How about poison?""
""The doctors examined her for it, but without success","""
""How baout poison?""RhhFs
""The doctors examined her for it, but without success",1,3,"baout->about, poison?""->poison?""RhhFs, examined->examined",3
"""
""What do you think that this unfortunate lady died of, then?""
""It is my belief that she died of pure fear and nervous shock, though what it was that frightened her I cannot imagine","""
""What do you think that this unfortunate lady died of, then?""
""It is my belief that she died of pure fear anbd nervous shock, though what it was that frightened her I cannot imagine",1,1,and->anbd,1
"""
""Were there gipsies in the plantation at the time?""
""Yes, there are nearly always some there","""
""Were htere gipsies in the plantation at the time?""
""Yes, there are nearly alwasy some there",1,3,"alwasy->always, there->there, there->htere",3
